Sex,Protein,Total_Fat,Carbohydrates,Sugars,Sodium,Dietary_Fibre_g,Vitamin_C_mg_DV,Vitamin_A_re_DV,Calcium_mg_DV,Iron_mg_DV
Male,55,95,300,120,1300,24,60,1000,1100,18
Female,45,70,230,90,1300,24,60,1000,1100,18
