"Calories","Total_Fat","Sodium","Carbohydrates","Sugars","Protein","Id","Vitamin_A_re_DV","Vitamin_C_mg_DV","Dietary_Fibre_g","Calcium_mg_DV","Iron_mg_DV"
750.0,38.0,1720.0,65.0,16.0,36.0,64.0,80.0,15.0,3.75,330.0,2.7
590.0,25.0,1560.0,51.0,14.0,40.0,65.0,80.0,18.0,3.75,330.0,2.7
430.0,19.0,910.0,43.0,7.0,21.0,66.0,40.0,1.2,1.75,165.0,2.7
360.0,16.0,800.0,40.0,5.0,14.0,67.0,0.0,1.2,1.75,110.0,2.7
480.0,24.0,1260.0,43.0,6.0,22.0,68.0,40.0,6.0,2.0,220.0,2.7
430.0,21.0,1260.0,41.0,6.0,20.0,69.0,20.0,6.0,1.75,165.0,2.7
360.0,16.0,990.0,40.0,5.0,14.0,70.0,20.0,1.2,1.75,165.0,2.7
630.0,32.0,1540.0,56.0,7.0,32.0,71.0,600.0,12.0,3.25,220.0,3.6
480.0,19.0,1370.0,42.0,6.0,36.0,72.0,600.0,15.0,3.25,220.0,3.6
610.0,31.0,1340.0,56.0,8.0,27.0,73.0,600.0,9.0,3.5,220.0,3.6
450.0,18.0,1170.0,42.0,6.0,30.0,74.0,600.0,9.0,3.5,165.0,3.6
670.0,33.0,1480.0,68.0,12.0,27.0,75.0,600.0,9.0,4.75,220.0,3.6
520.0,20.0,1320.0,55.0,10.0,31.0,76.0,700.0,9.0,5.0,220.0,3.6
540.0,23.0,1260.0,61.0,14.0,23.0,77.0,600.0,9.0,3.25,88.0,3.6
380.0,10.0,1090.0,47.0,12.0,27.0,78.0,600.0,9.0,3.25,88.0,3.6
190.0,12.0,360.0,12.0,0.0,9.0,79.0,0.0,1.2,0.5,0.0,0.36
280.0,18.0,540.0,18.0,0.0,13.0,80.0,0.0,1.2,1.0,22.0,0.72
470.0,30.0,900.0,30.0,0.0,22.0,81.0,0.0,2.4,1.5,22.0,1.08
940.0,59.0,1800.0,59.0,0.0,44.0,82.0,0.0,4.8,3.0,44.0,1.8
1880.0,118.0,3600.0,118.0,1.0,87.0,83.0,0.0,9.0,6.0,88.0,4.5
390.0,19.0,590.0,39.0,5.0,15.0,84.0,20.0,0.0,1.75,165.0,1.8
140.0,7.0,300.0,10.0,4.0,9.0,85.0,1700.0,18.0,3.0,165.0,1.08
380.0,21.0,860.0,22.0,5.0,25.0,86.0,1000.0,15.0,2.5,165.0,1.44
220.0,8.0,690.0,8.0,4.0,29.0,87.0,1100.0,18.0,2.5,165.0,1.44
140.0,4.5,150.0,20.0,6.0,6.0,88.0,1600.0,15.0,5.75,165.0,1.8
450.0,22.0,850.0,42.0,12.0,23.0,89.0,1700.0,18.0,7.0,165.0,2.7
290.0,8.0,680.0,28.0,10.0,27.0,90.0,1700.0,18.0,7.0,165.0,2.7
340.0,15.0,780.0,37.0,8.0,14.0,91.0,40.0,0.0,1.5,110.0,1.8
260.0,8.0,700.0,30.0,7.0,16.0,92.0,40.0,1.2,1.5,110.0,1.8
330.0,15.0,730.0,34.0,3.0,14.0,93.0,20.0,0.0,1.25,110.0,1.8
250.0,8.0,650.0,27.0,2.0,16.0,94.0,20.0,1.2,1.25,110.0,1.8
360.0,20.0,810.0,32.0,3.0,15.0,95.0,20.0,0.0,1.25,110.0,1.8
280.0,13.0,720.0,25.0,2.0,16.0,96.0,20.0,1.2,1.25,110.0,1.8
230.0,11.0,130.0,30.0,0.0,2.0,97.0,0.0,18.0,2.5,0.0,0.72
340.0,16.0,190.0,44.0,0.0,4.0,98.0,0.0,27.0,3.5,22.0,0.72
510.0,24.0,290.0,67.0,0.0,6.0,99.0,0.0,42.0,5.5,22.0,1.44
110.0,5.0,65.0,15.0,0.0,1.0,100.0,0.0,9.0,1.25,0.0,0.36
20.0,0.0,10.0,4.0,2.0,1.0,101.0,450.0,15.0,1.5,22.0,0.72
15.0,0.0,0.0,4.0,3.0,0.0,102.0,0.0,96.0,0.0,22.0,0.0
150.0,2.0,70.0,30.0,23.0,4.0,103.0,20.0,9.0,0.75,110.0,0.72
250.0,13.0,170.0,32.0,13.0,2.0,104.0,40.0,15.0,3.75,22.0,1.08
160.0,8.0,90.0,21.0,15.0,2.0,105.0,20.0,0.0,0.75,22.0,1.44
150.0,6.0,135.0,22.0,13.0,2.0,106.0,20.0,0.0,0.75,22.0,1.08
45.0,1.5,20.0,7.0,6.0,1.0,107.0,20.0,0.0,0.0,44.0,0.0
330.0,9.0,170.0,53.0,48.0,8.0,108.0,80.0,0.0,0.75,275.0,1.44
340.0,8.0,150.0,60.0,43.0,7.0,109.0,100.0,0.0,0.0,275.0,0.0
280.0,6.0,85.0,49.0,45.0,6.0,110.0,80.0,2.4,0.0,220.0,0.0
140.0,0.0,0.0,39.0,39.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0
200.0,0.0,5.0,55.0,55.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0
280.0,0.0,5.0,76.0,76.0,0.0,113.0,0.0,0.0,0.0,0.0,0.0
100.0,0.0,0.0,28.0,28.0,0.0,114.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,10.0,0.0,0.0,0.0,115.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,20.0,0.0,0.0,0.0,116.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,35.0,0.0,0.0,0.0,117.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,15.0,0.0,0.0,0.0,118.0,0.0,0.0,0.0,0.0,0.0
140.0,0.0,45.0,37.0,35.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0
190.0,0.0,65.0,53.0,51.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0
270.0,0.0,90.0,72.0,70.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0
100.0,0.0,30.0,27.0,26.0,0.0,122.0,0.0,0.0,0.0,0.0,0.0
